Latency on Audio Test,time (μs)
summit_sealfs_write,104.113
summit_sealfs_write,103.981
summit_sealfs_write,103.587
summit_sealfs_write,103.514
summit_sealfs_write,103.431
summit_sealfs_write,103.424
summit_sealfs_write,103.279
summit_sealfs_write,102.904
summit_sealfs_write,102.777
summit_sealfs_write,102.703
summit_sealfs_write,102.702
summit_sealfs_write,102.131
summit_sealfs_write,101.586
summit_sealfs_write,101.45
summit_sealfs_write,101.398
summit_sealfs_write,101.29
summit_sealfs_write,101.207
summit_sealfs_write,101.187
summit_sealfs_write,100.88
summit_sealfs_write,100.285
summit_sealfs_write,100.24
summit_sealfs_write,100.132
summit_sealfs_write,100.037
summit_sealfs_write,99.985
summit_sealfs_write,99.877
summit_sealfs_write,99.793
summit_sealfs_write,99.733
summit_sealfs_write,99.712
summit_sealfs_write,99.545
summit_sealfs_write,99.396
summit_sealfs_write,98.925
summit_sealfs_write,98.845
summit_sealfs_write,98.639
summit_sealfs_write,98.33
summit_sealfs_write,97.943
summit_sealfs_write,97.695
summit_sealfs_write,97.593
summit_sealfs_write,97.245
summit_sealfs_write,97.205
summit_sealfs_write,97.124
summit_sealfs_write,97.113
summit_sealfs_write,97.101
summit_sealfs_write,96.903
summit_sealfs_write,96.663
summit_sealfs_write,96.581
summit_sealfs_write,96.416
summit_sealfs_write,96.359
summit_sealfs_write,96.336
summit_sealfs_write,95.646
summit_sealfs_write,95.512
summit_sealfs_write,95.344
summit_sealfs_write,95.336
summit_sealfs_write,94.94
summit_sealfs_write,94.822
summit_sealfs_write,94.753
summit_sealfs_write,94.612
summit_sealfs_write,94.476
summit_sealfs_write,94.388
summit_sealfs_write,94.383
summit_sealfs_write,94.27
summit_sealfs_write,94.222
summit_sealfs_write,94.082
summit_sealfs_write,93.988
summit_sealfs_write,93.936
summit_sealfs_write,93.896
summit_sealfs_write,93.896
summit_sealfs_write,93.875
summit_sealfs_write,93.814
summit_sealfs_write,93.775
summit_sealfs_write,93.532
summit_sealfs_write,93.484
summit_sealfs_write,93.392
summit_sealfs_write,93.317
summit_sealfs_write,93.018
summit_sealfs_write,92.952
summit_sealfs_write,92.853
summit_sealfs_write,92.578
summit_sealfs_write,92.403
summit_sealfs_write,92.358
summit_sealfs_write,92.28
summit_sealfs_write,92.189
summit_sealfs_write,92.103
summit_sealfs_write,92.095
summit_sealfs_write,92.056
summit_sealfs_write,91.926
summit_sealfs_write,91.913
summit_sealfs_write,91.789
summit_sealfs_write,91.754
summit_sealfs_write,91.689
summit_sealfs_write,91.609
summit_sealfs_write,91.59
summit_sealfs_write,91.505
summit_sealfs_write,91.298
summit_sealfs_write,91.238
summit_sealfs_write,91.177
summit_sealfs_write,91.1
summit_sealfs_write,91.098
summit_sealfs_write,91.079
summit_sealfs_write,91.009
summit_sealfs_write,90.975
summit_sealfs_write,90.73
summit_sealfs_write,90.713
summit_sealfs_write,90.629
summit_sealfs_write,90.454
summit_sealfs_write,90.399
summit_sealfs_write,90.344
summit_sealfs_write,90.28
summit_sealfs_write,90.238
summit_sealfs_write,90.141
summit_sealfs_write,90.014
summit_sealfs_write,89.986
summit_sealfs_write,89.953
summit_sealfs_write,89.869
summit_sealfs_write,89.865
summit_sealfs_write,89.86
summit_sealfs_write,89.829
summit_sealfs_write,89.829
summit_sealfs_write,89.801
summit_sealfs_write,89.776
summit_sealfs_write,89.767
summit_sealfs_write,89.731
summit_sealfs_write,89.727
summit_sealfs_write,89.606
summit_sealfs_write,89.549
summit_sealfs_write,89.383
summit_sealfs_write,89.312
summit_sealfs_write,89.13
summit_sealfs_write,89.124
summit_sealfs_write,89.091
summit_sealfs_write,89.044
summit_sealfs_write,88.977
summit_sealfs_write,88.94
summit_sealfs_write,88.916
summit_sealfs_write,88.884
summit_sealfs_write,88.864
summit_sealfs_write,88.852
summit_sealfs_write,88.838
summit_sealfs_write,88.821
summit_sealfs_write,88.794
summit_sealfs_write,88.628
summit_sealfs_write,88.613
summit_sealfs_write,88.562
summit_sealfs_write,88.483
summit_sealfs_write,88.448
summit_sealfs_write,88.43
summit_sealfs_write,88.41
summit_sealfs_write,88.352
summit_sealfs_write,88.325
summit_sealfs_write,88.262
summit_sealfs_write,88.241
summit_sealfs_write,88.234
summit_sealfs_write,88.2
summit_sealfs_write,88.151
summit_sealfs_write,88.115
summit_sealfs_write,88.101
summit_sealfs_write,88.089
summit_sealfs_write,88.039
summit_sealfs_write,88.026
summit_sealfs_write,87.991
summit_sealfs_write,87.914
summit_sealfs_write,87.818
summit_sealfs_write,87.794
summit_sealfs_write,87.701
summit_sealfs_write,87.576
summit_sealfs_write,87.527
summit_sealfs_write,87.52
summit_sealfs_write,87.422
summit_sealfs_write,87.393
summit_sealfs_write,87.391
summit_sealfs_write,87.316
summit_sealfs_write,87.24
summit_sealfs_write,87.213
summit_sealfs_write,87.128
summit_sealfs_write,87.079
summit_sealfs_write,87.063
summit_sealfs_write,87.059
summit_sealfs_write,87.038
summit_sealfs_write,87.03
summit_sealfs_write,87.023
summit_sealfs_write,87.021
summit_sealfs_write,86.939
summit_sealfs_write,86.934
summit_sealfs_write,86.92
summit_sealfs_write,86.856
summit_sealfs_write,86.822
summit_sealfs_write,86.788
summit_sealfs_write,86.716
summit_sealfs_write,86.707
summit_sealfs_write,86.677
summit_sealfs_write,86.609
summit_sealfs_write,86.596
summit_sealfs_write,86.58
summit_sealfs_write,86.566
summit_sealfs_write,86.53
summit_sealfs_write,86.52
summit_sealfs_write,86.482
summit_sealfs_write,86.48
summit_sealfs_write,86.417
summit_sealfs_write,86.389
summit_sealfs_write,86.359
summit_sealfs_write,86.349
summit_sealfs_write,86.341
summit_sealfs_write,86.263
summit_sealfs_write,86.212
summit_sealfs_write,86.189
summit_sealfs_write,86.146
summit_sealfs_write,86.113
summit_sealfs_write,85.993
summit_sealfs_write,85.972
summit_sealfs_write,85.971
summit_sealfs_write,85.964
summit_sealfs_write,85.95
summit_sealfs_write,85.948
summit_sealfs_write,85.939
summit_sealfs_write,85.938
summit_sealfs_write,85.907
summit_sealfs_write,85.88
summit_sealfs_write,85.855
summit_sealfs_write,85.806
summit_sealfs_write,85.793
summit_sealfs_write,85.781
summit_sealfs_write,85.781
summit_sealfs_write,85.733
summit_sealfs_write,85.727
summit_sealfs_write,85.676
summit_sealfs_write,85.664
summit_sealfs_write,85.574
summit_sealfs_write,85.564
summit_sealfs_write,85.538
summit_sealfs_write,85.536
summit_sealfs_write,85.498
summit_sealfs_write,85.495
summit_sealfs_write,85.487
summit_sealfs_write,85.481
summit_sealfs_write,85.463
summit_sealfs_write,85.442
summit_sealfs_write,85.436
summit_sealfs_write,85.374
summit_sealfs_write,85.368
summit_sealfs_write,85.364
summit_sealfs_write,85.343
summit_sealfs_write,85.285
summit_sealfs_write,85.258
summit_sealfs_write,85.25
summit_sealfs_write,85.242
summit_sealfs_write,85.228
summit_sealfs_write,85.219
summit_sealfs_write,85.216
summit_sealfs_write,85.199
summit_sealfs_write,85.188
summit_sealfs_write,85.187
summit_sealfs_write,85.181
summit_sealfs_write,85.18
summit_sealfs_write,85.163
summit_sealfs_write,85.16
summit_sealfs_write,85.086
summit_sealfs_write,85.001
summit_sealfs_write,84.966
summit_sealfs_write,84.909
summit_sealfs_write,84.877
summit_sealfs_write,84.857
summit_sealfs_write,84.84
summit_sealfs_write,84.739
summit_sealfs_write,84.726
summit_sealfs_write,84.668
summit_sealfs_write,84.628
summit_sealfs_write,84.627
summit_sealfs_write,84.621
summit_sealfs_write,84.61
summit_sealfs_write,84.594
summit_sealfs_write,84.591
summit_sealfs_write,84.563
summit_sealfs_write,84.55
summit_sealfs_write,84.546
summit_sealfs_write,84.543
summit_sealfs_write,84.531
summit_sealfs_write,84.526
summit_sealfs_write,84.499
summit_sealfs_write,84.441
summit_sealfs_write,84.438
summit_sealfs_write,84.425
summit_sealfs_write,84.406
summit_sealfs_write,84.399
summit_sealfs_write,84.392
summit_sealfs_write,84.391
summit_sealfs_write,84.388
summit_sealfs_write,84.383
summit_sealfs_write,84.37
summit_sealfs_write,84.367
summit_sealfs_write,84.349
summit_sealfs_write,84.338
summit_sealfs_write,84.325
summit_sealfs_write,84.321
summit_sealfs_write,84.29
summit_sealfs_write,84.287
summit_sealfs_write,84.283
summit_sealfs_write,84.262
summit_sealfs_write,84.24
summit_sealfs_write,84.214
summit_sealfs_write,84.189
summit_sealfs_write,84.171
summit_sealfs_write,84.163
summit_sealfs_write,84.149
summit_sealfs_write,84.143
summit_sealfs_write,84.116
summit_sealfs_write,84.108
summit_sealfs_write,84.105
summit_sealfs_write,84.083
summit_sealfs_write,84.033
summit_sealfs_write,84.029
summit_sealfs_write,84.021
summit_sealfs_write,84.016
summit_sealfs_write,83.997
summit_sealfs_write,83.991
summit_sealfs_write,83.988
summit_sealfs_write,83.976
summit_sealfs_write,83.943
summit_sealfs_write,83.922
summit_sealfs_write,83.922
summit_sealfs_write,83.912
summit_sealfs_write,83.911
summit_sealfs_write,83.904
summit_sealfs_write,83.881
summit_sealfs_write,83.851
summit_sealfs_write,83.85
summit_sealfs_write,83.846
summit_sealfs_write,83.844
summit_sealfs_write,83.828
summit_sealfs_write,83.827
summit_sealfs_write,83.822
summit_sealfs_write,83.813
summit_sealfs_write,83.807
summit_sealfs_write,83.799
summit_sealfs_write,83.797
summit_sealfs_write,83.795
summit_sealfs_write,83.793
summit_sealfs_write,83.793
summit_sealfs_write,83.763
summit_sealfs_write,83.739
summit_sealfs_write,83.698
summit_sealfs_write,83.696
summit_sealfs_write,83.672
summit_sealfs_write,83.664
summit_sealfs_write,83.657
summit_sealfs_write,83.64
summit_sealfs_write,83.64
summit_sealfs_write,83.634
summit_sealfs_write,83.633
summit_sealfs_write,83.611
summit_sealfs_write,83.603
summit_sealfs_write,83.601
summit_sealfs_write,83.59
summit_sealfs_write,83.579
summit_sealfs_write,83.57
summit_sealfs_write,83.568
summit_sealfs_write,83.566
summit_sealfs_write,83.548
summit_sealfs_write,83.524
summit_sealfs_write,83.514
summit_sealfs_write,83.499
summit_sealfs_write,83.463
summit_sealfs_write,83.452
summit_sealfs_write,83.43
summit_sealfs_write,83.407
summit_sealfs_write,83.396
summit_sealfs_write,83.396
summit_sealfs_write,83.386
summit_sealfs_write,83.384
summit_sealfs_write,83.381
summit_sealfs_write,83.377
summit_sealfs_write,83.368
summit_sealfs_write,83.359
summit_sealfs_write,83.341
summit_sealfs_write,83.336
summit_sealfs_write,83.325
summit_sealfs_write,83.316
summit_sealfs_write,83.316
summit_sealfs_write,83.313
summit_sealfs_write,83.306
summit_sealfs_write,83.305
summit_sealfs_write,83.286
summit_sealfs_write,83.273
summit_sealfs_write,83.272
summit_sealfs_write,83.251
summit_sealfs_write,83.238
summit_sealfs_write,83.234
summit_sealfs_write,83.218
summit_sealfs_write,83.215
summit_sealfs_write,83.206
summit_sealfs_write,83.202
summit_sealfs_write,83.192
summit_sealfs_write,83.191
summit_sealfs_write,83.185
summit_sealfs_write,83.185
summit_sealfs_write,83.148
summit_sealfs_write,83.143
summit_sealfs_write,83.131
summit_sealfs_write,83.126
summit_sealfs_write,83.123
summit_sealfs_write,83.117
summit_sealfs_write,83.099
summit_sealfs_write,83.091
summit_sealfs_write,83.077
summit_sealfs_write,83.073
summit_sealfs_write,83.05
summit_sealfs_write,83.008
summit_sealfs_write,83.007
summit_sealfs_write,83.002
summit_sealfs_write,82.991
summit_sealfs_write,82.979
summit_sealfs_write,82.975
summit_sealfs_write,82.962
summit_sealfs_write,82.945
summit_sealfs_write,82.924
summit_sealfs_write,82.919
summit_sealfs_write,82.894
summit_sealfs_write,82.884
summit_sealfs_write,82.865
summit_sealfs_write,82.861
summit_sealfs_write,82.853
summit_sealfs_write,82.846
summit_sealfs_write,82.838
summit_sealfs_write,82.825
summit_sealfs_write,82.824
summit_sealfs_write,82.802
summit_sealfs_write,82.794
summit_sealfs_write,82.781
summit_sealfs_write,82.776
summit_sealfs_write,82.774
summit_sealfs_write,82.764
summit_sealfs_write,82.763
summit_sealfs_write,82.757
summit_sealfs_write,82.755
summit_sealfs_write,82.742
summit_sealfs_write,82.721
summit_sealfs_write,82.715
summit_sealfs_write,82.714
summit_sealfs_write,82.711
summit_sealfs_write,82.701
summit_sealfs_write,82.697
summit_sealfs_write,82.696
summit_sealfs_write,82.691
summit_sealfs_write,82.688
summit_sealfs_write,82.674
summit_sealfs_write,82.667
summit_sealfs_write,82.654
summit_sealfs_write,82.64
summit_sealfs_write,82.611
summit_sealfs_write,82.607
summit_sealfs_write,82.605
summit_sealfs_write,82.597
summit_sealfs_write,82.581
summit_sealfs_write,82.58
summit_sealfs_write,82.571
summit_sealfs_write,82.562
summit_sealfs_write,82.558
summit_sealfs_write,82.556
summit_sealfs_write,82.539
summit_sealfs_write,82.525
summit_sealfs_write,82.506
summit_sealfs_write,82.5
summit_sealfs_write,82.498
summit_sealfs_write,82.496
summit_sealfs_write,82.486
summit_sealfs_write,82.484
summit_sealfs_write,82.466
summit_sealfs_write,82.465
summit_sealfs_write,82.464
summit_sealfs_write,82.449
summit_sealfs_write,82.447
summit_sealfs_write,82.436
summit_sealfs_write,82.434
summit_sealfs_write,82.413
summit_sealfs_write,82.413
summit_sealfs_write,82.411
summit_sealfs_write,82.39
summit_sealfs_write,82.387
summit_sealfs_write,82.382
summit_sealfs_write,82.376
summit_sealfs_write,82.365
summit_sealfs_write,82.356
summit_sealfs_write,82.349
summit_sealfs_write,82.348
summit_sealfs_write,82.345
summit_sealfs_write,82.33
summit_sealfs_write,82.313
summit_sealfs_write,82.301
summit_sealfs_write,82.3
summit_sealfs_write,82.297
summit_sealfs_write,82.296
summit_sealfs_write,82.289
summit_sealfs_write,82.289
summit_sealfs_write,82.277
summit_sealfs_write,82.276
summit_sealfs_write,82.273
summit_sealfs_write,82.252
summit_sealfs_write,82.244
summit_sealfs_write,82.244
summit_sealfs_write,82.244
summit_sealfs_write,82.243
summit_sealfs_write,82.24
summit_sealfs_write,82.229
summit_sealfs_write,82.223
summit_sealfs_write,82.215
summit_sealfs_write,82.206
summit_sealfs_write,82.202
summit_sealfs_write,82.201
summit_sealfs_write,82.197
summit_sealfs_write,82.193
summit_sealfs_write,82.188
summit_sealfs_write,82.187
summit_sealfs_write,82.177
summit_sealfs_write,82.171
summit_sealfs_write,82.164
summit_sealfs_write,82.157
summit_sealfs_write,82.154
summit_sealfs_write,82.134
summit_sealfs_write,82.134
summit_sealfs_write,82.133
summit_sealfs_write,82.127
summit_sealfs_write,82.124
summit_sealfs_write,82.122
summit_sealfs_write,82.113
summit_sealfs_write,82.098
summit_sealfs_write,82.073
summit_sealfs_write,82.058
summit_sealfs_write,82.058
summit_sealfs_write,82.058
summit_sealfs_write,82.057
summit_sealfs_write,82.053
summit_sealfs_write,82.052
summit_sealfs_write,82.04
summit_sealfs_write,82.028
summit_sealfs_write,82.021
summit_sealfs_write,82.015
summit_sealfs_write,81.957
summit_sealfs_write,81.947
summit_sealfs_write,81.946
summit_sealfs_write,81.944
summit_sealfs_write,81.931
summit_sealfs_write,81.925
summit_sealfs_write,81.925
summit_sealfs_write,81.916
summit_sealfs_write,81.913
summit_sealfs_write,81.908
summit_sealfs_write,81.906
summit_sealfs_write,81.905
summit_sealfs_write,81.903
summit_sealfs_write,81.872
summit_sealfs_write,81.869
summit_sealfs_write,81.867
summit_sealfs_write,81.863
summit_sealfs_write,81.862
summit_sealfs_write,81.854
summit_sealfs_write,81.852
summit_sealfs_write,81.849
summit_sealfs_write,81.829
summit_sealfs_write,81.825
summit_sealfs_write,81.817
summit_sealfs_write,81.815
summit_sealfs_write,81.813
summit_sealfs_write,81.809
summit_sealfs_write,81.801
summit_sealfs_write,81.8
summit_sealfs_write,81.791
summit_sealfs_write,81.779
summit_sealfs_write,81.773
summit_sealfs_write,81.771
summit_sealfs_write,81.767
summit_sealfs_write,81.767
summit_sealfs_write,81.758
summit_sealfs_write,81.753
summit_sealfs_write,81.753
summit_sealfs_write,81.742
summit_sealfs_write,81.735
summit_sealfs_write,81.732
summit_sealfs_write,81.724
summit_sealfs_write,81.698
summit_sealfs_write,81.694
summit_sealfs_write,81.689
summit_sealfs_write,81.687
summit_sealfs_write,81.665
summit_sealfs_write,81.655
summit_sealfs_write,81.648
summit_sealfs_write,81.645
summit_sealfs_write,81.638
summit_sealfs_write,81.63
summit_sealfs_write,81.621
summit_sealfs_write,81.608
summit_sealfs_write,81.607
summit_sealfs_write,81.604
summit_sealfs_write,81.597
summit_sealfs_write,81.596
summit_sealfs_write,81.585
summit_sealfs_write,81.571
summit_sealfs_write,81.57
summit_sealfs_write,81.57
summit_sealfs_write,81.57
summit_sealfs_write,81.563
summit_sealfs_write,81.558
summit_sealfs_write,81.552
summit_sealfs_write,81.542
summit_sealfs_write,81.538
summit_sealfs_write,81.527
summit_sealfs_write,81.517
summit_sealfs_write,81.483
summit_sealfs_write,81.481
summit_sealfs_write,81.477
summit_sealfs_write,81.472
summit_sealfs_write,81.471
summit_sealfs_write,81.47
summit_sealfs_write,81.47
summit_sealfs_write,81.466
summit_sealfs_write,81.465
summit_sealfs_write,81.459
summit_sealfs_write,81.454
summit_sealfs_write,81.447
summit_sealfs_write,81.439
summit_sealfs_write,81.434
summit_sealfs_write,81.424
summit_sealfs_write,81.417
summit_sealfs_write,81.403
summit_sealfs_write,81.399
summit_sealfs_write,81.396
summit_sealfs_write,81.395
summit_sealfs_write,81.363
summit_sealfs_write,81.36
summit_sealfs_write,81.359
summit_sealfs_write,81.346
summit_sealfs_write,81.34
summit_sealfs_write,81.336
summit_sealfs_write,81.334
summit_sealfs_write,81.332
summit_sealfs_write,81.329
summit_sealfs_write,81.323
summit_sealfs_write,81.32
summit_sealfs_write,81.314
summit_sealfs_write,81.295
summit_sealfs_write,81.292
summit_sealfs_write,81.291
summit_sealfs_write,81.289
summit_sealfs_write,81.288
summit_sealfs_write,81.28
summit_sealfs_write,81.27
summit_sealfs_write,81.266
summit_sealfs_write,81.223
summit_sealfs_write,81.213
summit_sealfs_write,81.203
summit_sealfs_write,81.191
summit_sealfs_write,81.184
summit_sealfs_write,81.182
summit_sealfs_write,81.173
summit_sealfs_write,81.17
summit_sealfs_write,81.163
summit_sealfs_write,81.154
summit_sealfs_write,81.139
summit_sealfs_write,81.133
summit_sealfs_write,81.132
summit_sealfs_write,81.131
summit_sealfs_write,81.122
summit_sealfs_write,81.111
summit_sealfs_write,81.109
summit_sealfs_write,81.106
summit_sealfs_write,81.091
summit_sealfs_write,81.083
summit_sealfs_write,81.082
summit_sealfs_write,81.081
summit_sealfs_write,81.078
summit_sealfs_write,81.076
summit_sealfs_write,81.07
summit_sealfs_write,81.065
summit_sealfs_write,81.061
summit_sealfs_write,81.044
summit_sealfs_write,81.04
summit_sealfs_write,81.039
summit_sealfs_write,81.034
summit_sealfs_write,81.032
summit_sealfs_write,81.026
summit_sealfs_write,81.025
summit_sealfs_write,81.021
summit_sealfs_write,81.021
summit_sealfs_write,81.014
summit_sealfs_write,81.01
summit_sealfs_write,81.003
summit_sealfs_write,81.002
summit_sealfs_write,80.998
summit_sealfs_write,80.993
summit_sealfs_write,80.985
summit_sealfs_write,80.97
summit_sealfs_write,80.958
summit_sealfs_write,80.958
summit_sealfs_write,80.953
summit_sealfs_write,80.948
summit_sealfs_write,80.947
summit_sealfs_write,80.933
summit_sealfs_write,80.923
summit_sealfs_write,80.923
summit_sealfs_write,80.92
summit_sealfs_write,80.908
summit_sealfs_write,80.906
summit_sealfs_write,80.906
summit_sealfs_write,80.867
summit_sealfs_write,80.863
summit_sealfs_write,80.861
summit_sealfs_write,80.859
summit_sealfs_write,80.858
summit_sealfs_write,80.857
summit_sealfs_write,80.856
summit_sealfs_write,80.848
summit_sealfs_write,80.847
summit_sealfs_write,80.845
summit_sealfs_write,80.835
summit_sealfs_write,80.833
summit_sealfs_write,80.83
summit_sealfs_write,80.823
summit_sealfs_write,80.812
summit_sealfs_write,80.804
summit_sealfs_write,80.803
summit_sealfs_write,80.799
summit_sealfs_write,80.793
summit_sealfs_write,80.782
summit_sealfs_write,80.778
summit_sealfs_write,80.777
summit_sealfs_write,80.776
summit_sealfs_write,80.771
summit_sealfs_write,80.768
summit_sealfs_write,80.768
summit_sealfs_write,80.733
summit_sealfs_write,80.73
summit_sealfs_write,80.725
summit_sealfs_write,80.724
summit_sealfs_write,80.712
summit_sealfs_write,80.695
summit_sealfs_write,80.688
summit_sealfs_write,80.687
summit_sealfs_write,80.677
summit_sealfs_write,80.677
summit_sealfs_write,80.674
summit_sealfs_write,80.669
summit_sealfs_write,80.665
summit_sealfs_write,80.659
summit_sealfs_write,80.647
summit_sealfs_write,80.642
summit_sealfs_write,80.641
summit_sealfs_write,80.638
summit_sealfs_write,80.628
summit_sealfs_write,80.621
summit_sealfs_write,80.614
summit_sealfs_write,80.61
summit_sealfs_write,80.609
summit_sealfs_write,80.604
summit_sealfs_write,80.599
summit_sealfs_write,80.573
summit_sealfs_write,80.562
summit_sealfs_write,80.555
summit_sealfs_write,80.548
summit_sealfs_write,80.539
summit_sealfs_write,80.517
summit_sealfs_write,80.504
summit_sealfs_write,80.503
summit_sealfs_write,80.502
summit_sealfs_write,80.499
summit_sealfs_write,80.496
summit_sealfs_write,80.494
summit_sealfs_write,80.493
summit_sealfs_write,80.475
summit_sealfs_write,80.469
summit_sealfs_write,80.465
summit_sealfs_write,80.462
summit_sealfs_write,80.461
summit_sealfs_write,80.459
summit_sealfs_write,80.458
summit_sealfs_write,80.457
summit_sealfs_write,80.454
summit_sealfs_write,80.449
summit_sealfs_write,80.449
summit_sealfs_write,80.438
summit_sealfs_write,80.436
summit_sealfs_write,80.433
summit_sealfs_write,80.417
summit_sealfs_write,80.414
summit_sealfs_write,80.414
summit_sealfs_write,80.412
summit_sealfs_write,80.409
summit_sealfs_write,80.403
summit_sealfs_write,80.4
summit_sealfs_write,80.392
summit_sealfs_write,80.388
summit_sealfs_write,80.386
summit_sealfs_write,80.377
summit_sealfs_write,80.366
summit_sealfs_write,80.366
summit_sealfs_write,80.365
summit_sealfs_write,80.363
summit_sealfs_write,80.346
summit_sealfs_write,80.343
summit_sealfs_write,80.338
summit_sealfs_write,80.337
summit_sealfs_write,80.333
summit_sealfs_write,80.331
summit_sealfs_write,80.329
summit_sealfs_write,80.322
summit_sealfs_write,80.31
summit_sealfs_write,80.303
summit_sealfs_write,80.292
summit_sealfs_write,80.287
summit_sealfs_write,80.278
summit_sealfs_write,80.272
summit_sealfs_write,80.27
summit_sealfs_write,80.264
summit_sealfs_write,80.248
summit_sealfs_write,80.245
summit_sealfs_write,80.236
summit_sealfs_write,80.227
summit_sealfs_write,80.227
summit_sealfs_write,80.222
summit_sealfs_write,80.221
summit_sealfs_write,80.221
summit_sealfs_write,80.22
summit_sealfs_write,80.213
summit_sealfs_write,80.207
summit_sealfs_write,80.204
summit_sealfs_write,80.202
summit_sealfs_write,80.202
summit_sealfs_write,80.198
summit_sealfs_write,80.196
summit_sealfs_write,80.195
summit_sealfs_write,80.194
summit_sealfs_write,80.191
summit_sealfs_write,80.179
summit_sealfs_write,80.179
summit_sealfs_write,80.173
summit_sealfs_write,80.169
summit_sealfs_write,80.167
summit_sealfs_write,80.154
summit_sealfs_write,80.151
summit_sealfs_write,80.143
summit_sealfs_write,80.139
summit_sealfs_write,80.135
summit_sealfs_write,80.134
summit_sealfs_write,80.132
summit_sealfs_write,80.129
summit_sealfs_write,80.126
summit_sealfs_write,80.125
summit_sealfs_write,80.12
summit_sealfs_write,80.111
summit_sealfs_write,80.1
summit_sealfs_write,80.088
summit_sealfs_write,80.088
summit_sealfs_write,80.086
summit_sealfs_write,80.084
summit_sealfs_write,80.081
summit_sealfs_write,80.081
summit_sealfs_write,80.075
summit_sealfs_write,80.064
summit_sealfs_write,80.062
summit_sealfs_write,80.055
summit_sealfs_write,80.049
summit_sealfs_write,80.037
summit_sealfs_write,80.035
summit_sealfs_write,80.026
summit_sealfs_write,80.021
summit_sealfs_write,80.019
summit_sealfs_write,80.018
summit_sealfs_write,80.013
summit_sealfs_write,80.009
summit_sealfs_write,79.996
summit_sealfs_write,79.985
summit_sealfs_write,79.982
summit_sealfs_write,79.978
summit_sealfs_write,79.971
summit_sealfs_write,79.955
summit_sealfs_write,79.936
summit_sealfs_write,79.93
summit_sealfs_write,79.928
summit_sealfs_write,79.919
summit_sealfs_write,79.899
summit_sealfs_write,79.894
summit_sealfs_write,79.892
summit_sealfs_write,79.891
summit_sealfs_write,79.891
summit_sealfs_write,79.89
summit_sealfs_write,79.889
summit_sealfs_write,79.888
summit_sealfs_write,79.872
summit_sealfs_write,79.871
summit_sealfs_write,79.866
summit_sealfs_write,79.861
summit_sealfs_write,79.861
summit_sealfs_write,79.858
summit_sealfs_write,79.855
summit_sealfs_write,79.843
summit_sealfs_write,79.841
summit_sealfs_write,79.84
summit_sealfs_write,79.84
summit_sealfs_write,79.839
summit_sealfs_write,79.838
summit_sealfs_write,79.833
summit_sealfs_write,79.824
summit_sealfs_write,79.822
summit_sealfs_write,79.82
